site_code,n_obs,annee_debut,annee_fin,annees_manquantes,n_manquantes,taux_couverture,n_flags,comptage_median,comptage_max
PM_PUY_FELZINS,1,2017,2017,"2018, 2019, 2020, 2021, 2022, 2023, 2024",7,0.125,1,16994.0,16994.0
PM_TOU_STMAURE,1,2023,2023,"2017, 2018, 2019, 2020, 2021, 2022, 2024",7,0.125,0,181.0,181.0
PM_TOU_STJEANANGELY,1,2023,2023,"2017, 2018, 2019, 2020, 2021, 2022, 2024",7,0.125,0,724.0,724.0
PM_TOU_CHATELLERAULT,1,2023,2023,"2017, 2018, 2019, 2020, 2021, 2022, 2024",7,0.125,0,144.0,144.0
PM_PIE_LOURDES,2,2018,2022,"2017, 2019, 2020, 2021, 2023, 2024",6,0.25,0,1049.5,1598.0
Labastide-Marnhac,2,2023,2024,"2017, 2018, 2019, 2020, 2021, 2022",6,0.25,0,16905.0,17600.0
PM_ARL_LODEVE,2,2018,2019,"2017, 2020, 2021, 2022, 2023, 2024",6,0.25,0,412.0,421.0
PM_ARL_LUNAS,2,2023,2024,"2017, 2018, 2019, 2020, 2021, 2022",6,0.25,0,132.0,175.0
PM_PIE_STBERTRAND,2,2018,2019,"2017, 2020, 2021, 2022, 2023, 2024",6,0.25,0,367.5,500.0
Labastide-Murat,3,2022,2024,"2017, 2018, 2019, 2020, 2021",5,0.375,0,4450.0,4950.0
PM_ARL_REVEL,3,2019,2023,"2017, 2018, 2020, 2021, 2024",5,0.375,0,398.0,461.0
PM_VEZ_VEZELAY,3,2018,2022,"2017, 2020, 2021, 2023, 2024",5,0.375,0,930.0,935.0
PM_PUY_STCHRISTO,3,2018,2024,"2017, 2020, 2021, 2022, 2023",5,0.375,0,22000.0,35850.0
PM_ARL_AYGUESVIVES,3,2019,2023,"2017, 2018, 2020, 2021, 2024",5,0.375,0,435.0,468.0
Limogne-en-Quercy,3,2022,2024,"2017, 2018, 2019, 2020, 2021",5,0.375,0,14240.0,14400.0
Felzins,3,2022,2024,"2017, 2018, 2019, 2020, 2021",5,0.375,0,19720.0,20270.0
PM_VEZ_PERIGUEUX,3,2019,2023,"2017, 2018, 2020, 2021, 2024",5,0.375,0,177.0,1243.0
PM_VEZ_STLEONARD,3,2018,2023,"2017, 2020, 2021, 2022, 2024",5,0.375,0,610.0,639.0
Saint-Chignes (Gramat),3,2022,2024,"2017, 2018, 2019, 2020, 2021",5,0.375,0,9650.0,10100.0
PM_ARL_STSERNIN,4,2018,2024,"2017, 2020, 2021, 2023",4,0.5,0,937.5,1986.0
PM_ARL_STGUILHEM,4,2018,2024,"2017, 2020, 2021, 2022",4,0.5,0,380.0,520.0
PM_PUY_LAUZERTE,5,2018,2023,"2017, 2020, 2024",3,0.625,0,17396.0,18000.0
PM_PUY_BARDIGUES,6,2018,2024,"2017, 2020",2,0.75,0,11349.0,16642.0
PM_SJC,6,2018,2023,"2017, 2024",2,0.75,0,337478.0,445397.0
PM_PUY_FIGEAC_AMONT,6,2017,2024,"2020, 2022",2,0.75,1,15862.0,20272.0
PM_ARL_GIMONT,7,2018,2024,2017,1,0.875,0,3916.5,5596.0
SJPP,303,2018,2024,2017,1,0.875,0,43.0,54979.0
PM_PUY_SAUGUES,7,2017,2024,2020,1,0.875,2,20014.0,22870.0
PM_PUY_CONQUES,8,2017,2024,—,0,1.0,2,19301.5,23230.0
PM_SJPP,28,2012,2024,—,0,1.625,0,10950.5,61104.0
